id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1273635120738562048,1273635120738562048,2020-06-18 11:14:10 Eastern Daylight Time,2020-06-18,11:14:10,-0500,2815100030,ucohealth,Umatilla Co. Health,,"Practice social distancing by putting space between yourself and others. Continue to practice healthy habits, like washing your hands for at least 20 seconds and staying home if you’re sick, to help slow the spread of #COVID19. Learn more:  https://t.co/cGIlG8DDyg  https://t.co/WGPY1GQgMK",en,[],['http://cdc.gov/covid19'],['https://pbs.twimg.com/media/EazcYgRU0AErFvI.jpg'],0,1,1,['covid19'],[],https://twitter.com/UCoHealth/status/1273635120738562048,False,,1,https://pbs.twimg.com/media/EazcYgRU0AErFvI.jpg,,,,,,,[],,,,
1269023834608480260,1269023834608480260,2020-06-05 17:50:34 Eastern Daylight Time,2020-06-05,17:50:34,-0500,2815100030,ucohealth,Umatilla Co. Health,,"Umatilla County has been approved to enter Phase Two Reopening tomorrow, June 6th. Guidance and additional information on Governor Brown's reopening plan is available at  https://t.co/SGN2S7kSYV.  https://t.co/OWtSjmI9Ju",en,[],['https://govstatus.egov.com/or-covid-19'],['https://pbs.twimg.com/media/EZx6c9dXkAIADd8.jpg'],0,1,1,[],[],https://twitter.com/UCoHealth/status/1269023834608480260,False,,1,https://pbs.twimg.com/media/EZx6c9dXkAIADd8.jpg,,,,,,,[],,,,
1262401914383167488,1262401914383167488,2020-05-18 11:17:25 Eastern Daylight Time,2020-05-18,11:17:25,-0500,2815100030,ucohealth,Umatilla Co. Health,,"As you know, #UmatillaCounty is in phase 1 of reopening. Check out our guidelines to keep yourself and your loved ones safe. #Oregon #Covid_19  https://t.co/OA3guNvPr9",en,[],[],['https://pbs.twimg.com/media/EYTzx1sUYAA-XaY.jpg'],0,1,0,"['umatillacounty', 'oregon', 'covid_19']",[],https://twitter.com/UCoHealth/status/1262401914383167488,False,,1,https://pbs.twimg.com/media/EYTzx1sUYAA-XaY.jpg,,,,,,,[],,,,
1261364516069113858,1261364516069113858,2020-05-15 14:35:10 Eastern Daylight Time,2020-05-15,14:35:10,-0500,2815100030,ucohealth,Umatilla Co. Health,,"Over the past 20 years, suicide rates across the country have increased. Rural counties are being hit hardest with suicide rates double the rate in urban counties. Learn more about how to prevent suicide or  are seeking help, visit  https://t.co/SREr64EbFi   #NPW2020  https://t.co/PyrqpoCNxC",en,[],['http://ow.ly/EHey50zwhpd'],['https://pbs.twimg.com/media/EYFEV77WkAo4e-B.jpg'],0,0,0,['npw2020'],[],https://twitter.com/UCoHealth/status/1261364516069113858,False,,1,https://pbs.twimg.com/media/EYFEV77WkAo4e-B.jpg,,,,,,,[],,,,
1260706706188914690,1260706706188914690,2020-05-13 19:01:16 Eastern Daylight Time,2020-05-13,19:01:16,-0500,2815100030,ucohealth,Umatilla Co. Health,,Check out Partnership for Drug-Free Kids' Marijuana Talk Kit to help parents start the conversation about marijuana prevention with their teen.   https://t.co/QQBj95IcV5,en,[],['http://ow.ly/XAjm50zwgTe'],[],0,0,1,[],[],https://twitter.com/UCoHealth/status/1260706706188914690,False,,0,,,,,,,,[],,,,
1260615137175601152,1260615137175601152,2020-05-13 12:57:24 Eastern Daylight Time,2020-05-13,12:57:24,-0500,2815100030,ucohealth,Umatilla Co. Health,,Looking for local Umatilla County data on #COVID19? Check out our website that is updated weekly for more info:  https://t.co/rb0VLw2ZS0,en,[],['http://ucohealth.net/'],[],0,0,0,['covid19'],[],https://twitter.com/UCoHealth/status/1260615137175601152,False,,0,,,,,,,,[],,,,
1260601428621524998,1260601428621524998,2020-05-13 12:02:56 Eastern Daylight Time,2020-05-13,12:02:56,-0500,2815100030,ucohealth,Umatilla Co. Health,,"There are simple things that every person can say or do to help those who are struggling through tough times. The #Tools2Thrive toolkit explores small changes we can make that have a big impact. To learn more and download the free toolkit, visit  https://t.co/sd9UqPz8vn. #mhm20  https://t.co/ad1fNa6T2K",en,[],['http://mhanational.org/may'],['https://pbs.twimg.com/media/EX6OUYjX0AQrxvX.jpg'],0,0,0,"['tools2thrive', 'mhm20']",[],https://twitter.com/UCoHealth/status/1260601428621524998,False,,1,https://pbs.twimg.com/media/EX6OUYjX0AQrxvX.jpg,,,,,,,[],,,,
1260268936614023168,1260268936614023168,2020-05-12 14:01:43 Eastern Daylight Time,2020-05-12,14:01:43,-0500,2815100030,ucohealth,Umatilla Co. Health,,"Alcohol  is the most widely used substance among America's teens &amp; young adults. Underage drinking increases the risk of alcohol problems later in life and can negatively impact brain development during the teen years. To learn more, heck out:  https://t.co/YkMecJwJJG   #NPW2020",en,[],['https://drugfree.org/article/how-to-address-underage-drinking/'],[],0,0,0,['npw2020'],[],https://twitter.com/UCoHealth/status/1260268936614023168,False,,0,,,,,,,,[],,,,
1259529003003764736,1259529003003764736,2020-05-10 13:01:29 Eastern Daylight Time,2020-05-10,13:01:29,-0500,2815100030,ucohealth,Umatilla Co. Health,,UCo Health wishes you a very Happy Mother's Day! 💐  https://t.co/xr5zrT9HH6,en,[],[],['https://pbs.twimg.com/media/EXq-9AvXsAQ7Qf4.jpg'],0,0,0,[],[],https://twitter.com/UCoHealth/status/1259529003003764736,False,,1,https://pbs.twimg.com/media/EXq-9AvXsAQ7Qf4.jpg,,,,,,,[],,,,
1258506924909199360,1258506924909199360,2020-05-07 17:20:07 Eastern Daylight Time,2020-05-07,17:20:07,-0500,2815100030,ucohealth,Umatilla Co. Health,,Looking for some screen-free family fun activities? Check out  https://t.co/okBQ59KLok   for ideas and activities for #ScreenFreeWeek,en,[],['https://www.screenfree.org/resources/'],[],0,0,0,['screenfreeweek'],[],https://twitter.com/UCoHealth/status/1258506924909199360,False,,0,,,,,,,,[],,,,
