id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1469080137668849664,1469080137668849664,2021-12-09 18:02:53 Eastern Standard Time,2021-12-09,18:02:53,-0500,1047639177456582656,lcphss,Lewis County Public Health & Social Services,,9 helpful tips to you get through the season of forced @ClevelandClinic   https://t.co/Wnk4BNkPSy,en,"[{'screen_name': 'clevelandclinic', 'name': 'cleveland clinic', 'id': '24236494'}]",['https://cle.clinic/3oEFZS4'],[],0,0,0,[],[],https://twitter.com/LCPHSS/status/1469080137668849664,False,,0,,,,,,,,[],,,,
1469045088357470212,1469045088357470212,2021-12-09 15:43:37 Eastern Standard Time,2021-12-09,15:43:37,-0500,1047639177456582656,lcphss,Lewis County Public Health & Social Services,,"¿Busca recomendaciones sobre como hablar con los jóvenes sobre la marihuana? Encuentre consejos para conectar con sus hijos de acuerdo a sus edades, desde la secundaria hasta la universidad.  https://t.co/x3R4FB3lg7  https://t.co/CdUsP5j1rI",es,[],['https://www.starttalkingnow.org/padres'],['https://pbs.twimg.com/media/FGMYt1iVIAAZ55m.jpg'],0,0,0,[],[],https://twitter.com/LCPHSS/status/1469045088357470212,False,,1,https://pbs.twimg.com/media/FGMYt1iVIAAZ55m.jpg,,,,,,,[],,,,
1469044937526112259,1469044937526112259,2021-12-09 15:43:01 Eastern Standard Time,2021-12-09,15:43:01,-0500,1047639177456582656,lcphss,Lewis County Public Health & Social Services,,Looking for advice on how to talk to kids about marijuana? Find age-based tips for engaging your kids from middle school through college.    https://t.co/2i8wxst1ay  https://t.co/b3fQW2B3g9,en,[],['http://starttalkingnow.org/start-the-conversation'],['https://pbs.twimg.com/media/FGMYlKfUUAAyPju.jpg'],0,0,0,[],[],https://twitter.com/LCPHSS/status/1469044937526112259,False,,1,https://pbs.twimg.com/media/FGMYlKfUUAAyPju.jpg,,,,,,,[],,,,
1469037155573850114,1469037155573850114,2021-12-09 15:12:05 Eastern Standard Time,2021-12-09,15:12:05,-0500,1047639177456582656,lcphss,Lewis County Public Health & Social Services,,"Now hiring for multiple positions. For full descriptions of positions and to apply, visit:  https://t.co/n4Mye8zvct  https://t.co/5GMHjTlm3u",en,[],['https://jobs.lewiscountywa.gov/'],['https://pbs.twimg.com/media/FGMRgKkUUAE7on5.jpg'],0,0,0,[],[],https://twitter.com/LCPHSS/status/1469037155573850114,False,,1,https://pbs.twimg.com/media/FGMRgKkUUAE7on5.jpg,,,,,,,[],,,,
1469018580532400130,1469018580532400130,2021-12-09 13:58:17 Eastern Standard Time,2021-12-09,13:58:17,-0500,1047639177456582656,lcphss,Lewis County Public Health & Social Services,,"Needing to a COVID-19 test get back to work or school? Going somewhere special? Need that proof? Visit our drive up COVID-19 testing site. M, T, TH, F 8:30 – 6:00 p.m.  https://t.co/MBtsrDl0aC",en,[],[],['https://pbs.twimg.com/media/FGMAmQoVUAA5pi4.jpg'],0,2,1,[],[],https://twitter.com/LCPHSS/status/1469018580532400130,False,,1,https://pbs.twimg.com/media/FGMAmQoVUAA5pi4.jpg,,,,,,,[],,,,
1469017285536849923,1469017285536849923,2021-12-09 13:53:08 Eastern Standard Time,2021-12-09,13:53:08,-0500,1047639177456582656,lcphss,Lewis County Public Health & Social Services,, https://t.co/k17bXax8LL has information and resources on recovery and treatment for mental health and substance use disorders.,en,[],['http://www.warecoveryhelpline.org/'],[],0,0,0,[],[],https://twitter.com/LCPHSS/status/1469017285536849923,False,,0,,,,,,,,[],,,,
1468991564177620996,1468991564177620996,2021-12-09 12:10:56 Eastern Standard Time,2021-12-09,12:10:56,-0500,1047639177456582656,lcphss,Lewis County Public Health & Social Services,,"If you're sick, a new toothbrush is an easy fix to ensure lingering bacteria doesn’t lead to reinfection or get passed on to family members (and other sensible advice):  https://t.co/pKoGzWGzKS  @ClevelandClinic",en,"[{'screen_name': 'clevelandclinic', 'name': 'cleveland clinic', 'id': '24236494'}]",['https://cle.clinic/3IAIP2I'],[],0,0,0,[],[],https://twitter.com/LCPHSS/status/1468991564177620996,False,,0,,,,,,,,[],,,,
1468736714986323968,1468736714986323968,2021-12-08 19:18:15 Eastern Standard Time,2021-12-08,19:18:15,-0500,1047639177456582656,lcphss,Lewis County Public Health & Social Services,, https://t.co/IK5HOM3P83,und,[],[],['https://pbs.twimg.com/media/FGIAPCdVEAAH9Lb.jpg'],0,0,0,[],[],https://twitter.com/LCPHSS/status/1468736714986323968,False,,1,https://pbs.twimg.com/media/FGIAPCdVEAAH9Lb.jpg,,,,,,,[],,,,
1468736617661698050,1468736617661698050,2021-12-08 19:17:52 Eastern Standard Time,2021-12-08,19:17:52,-0500,1047639177456582656,lcphss,Lewis County Public Health & Social Services,, https://t.co/peznL5ZFwq,und,[],[],['https://pbs.twimg.com/media/FGIAKhGVQAQVYNJ.jpg'],0,0,0,[],[],https://twitter.com/LCPHSS/status/1468736617661698050,False,,1,https://pbs.twimg.com/media/FGIAKhGVQAQVYNJ.jpg,,,,,,,[],,,,
1468733797067673600,1468733797067673600,2021-12-08 19:06:39 Eastern Standard Time,2021-12-08,19:06:39,-0500,1047639177456582656,lcphss,Lewis County Public Health & Social Services,, https://t.co/Nw1HkrpO2x,und,[],[],['https://pbs.twimg.com/media/FGH9mKPUYAE82ye.jpg'],0,0,0,[],[],https://twitter.com/LCPHSS/status/1468733797067673600,False,,1,https://pbs.twimg.com/media/FGH9mKPUYAE82ye.jpg,,,,,,,[],,,,
