id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1249039594823323648,1249039594823323648,2020-04-11 14:20:20 Eastern Daylight Time,2020-04-11,14:20:20,-0500,2829944112,hunterdondoh,HC Health Dept.,,We are slowing the rate by which new cases are doubling.  https://t.co/upge8mf24o,en,[],[],['https://pbs.twimg.com/media/EVV65GkWkAEFqeq.jpg'],3,0,1,[],[],https://twitter.com/HunterdonDOH/status/1249039594823323648,False,,1,https://pbs.twimg.com/media/EVV65GkWkAEFqeq.jpg,,,,,,,[],,,,
1245433944918691842,1245433944918691842,2020-04-01 15:32:46 Eastern Daylight Time,2020-04-01,15:32:46,-0500,2829944112,hunterdondoh,HC Health Dept.,,Due to #COVID19 the Hunterdon Co Health Department is seeking volunteers for their Medical Reserve Corps.  MRC Volunteers are medical professionals and community members who can help support the health department efforts.  https://t.co/C3MeS9FjLz for more info and application.  https://t.co/tKYG5DtPab,en,[],['https://njlmn.njlincs.net'],['https://pbs.twimg.com/media/EUirj9sWoAA1EUQ.jpg'],0,1,2,['covid19'],[],https://twitter.com/HunterdonDOH/status/1245433944918691842,False,,1,https://pbs.twimg.com/media/EUirj9sWoAA1EUQ.jpg,,,,,,,[],,,,
1242196089752686600,1242196089752686600,2020-03-23 17:06:41 Eastern Daylight Time,2020-03-23,17:06:41,-0500,2829944112,hunterdondoh,HC Health Dept.,,"COVID-19 Hunterdon Updates If you have an underlying health condition such as ❤️disease, diabetes, lung disease, cancer, etc. Talk to your doctor now &amp; come up with a plan on what to do if you become sick. For more info visit:  https://t.co/Y80XhPF13m",en,[],['https://www.cdc.gov/coronavirus/2019-ncov/if-you-are-sick/index.html'],[],1,2,1,[],[],https://twitter.com/HunterdonDOH/status/1242196089752686600,False,,0,,,,,,,,[],,,,
1240366518803849218,1240366518803849218,2020-03-18 15:56:37 Eastern Daylight Time,2020-03-18,15:56:37,-0500,2829944112,hunterdondoh,HC Health Dept.,,Have general questions about COVID-19? The NJ Poison Control Center and 211 have partnered with the State to provide information to the public on COVID-19: Call: 2-1-1 Call (24/7): 1-800-962-1253 Text: NJCOVID to 898-211 Text: your zip code to 898-211 for live text assistance,en,[],[],[],0,0,0,[],[],https://twitter.com/HunterdonDOH/status/1240366518803849218,False,,0,,,,,,,,[],,,,
1238920682081304577,1238920682081304577,2020-03-14 16:11:23 Eastern Daylight Time,2020-03-14,16:11:23,-0500,2829944112,hunterdondoh,HC Health Dept.,,COVID-19 Hunterdon Updates We remind our residents to stay informed concerning COVID-19 from reliable sources.  Visit below for more info. Hunterdon County Health Department -  https://t.co/PUsmV5qIQZ  https://t.co/6yzv24yc9h,en,[],['http://www.co.hunterdon.nj.us/coronavirus.html'],['https://pbs.twimg.com/media/ETGHvqjWkAUGkqu.jpg'],4,2,3,[],[],https://twitter.com/HunterdonDOH/status/1238920682081304577,False,,1,https://pbs.twimg.com/media/ETGHvqjWkAUGkqu.jpg,,,,,,,[],,,,
1238880592248406016,1238880592248406016,2020-03-14 13:32:05 Eastern Daylight Time,2020-03-14,13:32:05,-0500,2829944112,hunterdondoh,HC Health Dept.,,COVID-19 Hunterdon Updates:  Feeling stressed about the novel coronavirus and would like to talk with a mental health professional? Visit  https://t.co/PUsmV5qIQZ for state and local resources.,en,[],['http://www.co.hunterdon.nj.us/coronavirus.html'],[],2,2,3,[],[],https://twitter.com/HunterdonDOH/status/1238880592248406016,False,,0,,,,,,,,[],,,,
1238624470136389633,1238624470136389633,2020-03-13 20:34:20 Eastern Daylight Time,2020-03-13,20:34:20,-0500,2829944112,hunterdondoh,HC Health Dept.,,"COVID-19 Hunterdon Updates: Hunterdon Healthcare has created a hotline for the community to call in with questions. The Hunterdon Healthcare COVID Hotline can be reached by calling 908-788-6440.  Hotline will be open seven days a week, 8:00 a.m. - 8:00 p.m.",en,[],[],[],3,3,4,[],[],https://twitter.com/HunterdonDOH/status/1238624470136389633,False,,0,,,,,,,,[],,,,
1238073295573901313,1238073295573901313,2020-03-12 08:04:10 Eastern Daylight Time,2020-03-12,08:04:10,-0500,2829944112,hunterdondoh,HC Health Dept.,,COVID-19 Hunterdon Updates -  What is a Person Under Investigation (PUI)?   A full description can be found by visiting:  https://t.co/QViXgpab9P,en,[],['https://www.cdc.gov/coronavirus/2019-ncov/hcp/clinical-criteria.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fcoronavirus%2F2019-ncov%2Fclinical-criteria.html'],[],0,2,1,[],[],https://twitter.com/HunterdonDOH/status/1238073295573901313,False,,0,,,,,,,,[],,,,
1237730166413066241,1237730166413066241,2020-03-11 09:20:42 Eastern Daylight Time,2020-03-11,09:20:42,-0500,2829944112,hunterdondoh,HC Health Dept.,,Questions about COVID-19? Residents are urged to call the hotline at 1-800-222-1222 or visit  https://t.co/UXCQbW7wQs for more information  https://t.co/V66niEGckR,en,[],['https://www.nj.gov/health/cd/topics/ncov.shtml'],['https://pbs.twimg.com/media/ES1NBaUXkAIpuJf.png'],0,1,1,[],[],https://twitter.com/HunterdonDOH/status/1237730166413066241,False,,1,https://pbs.twimg.com/media/ES1NBaUXkAIpuJf.png,,,,,,,[],,,,
1237434119698644996,1237434119698644996,2020-03-10 13:44:19 Eastern Daylight Time,2020-03-10,13:44:19,-0500,2829944112,hunterdondoh,HC Health Dept.,,"COVID-19 Hunterdon Update: Currently, HC doesn't have any confirmed cases of COVID-19.  Over the weekend the media incorrectly reported 2 HC residents with pending lab results.  1 met the case criteria for testing, and the lab result was negative.  Visit:  https://t.co/PUsmV5qIQZ",en,[],['http://www.co.hunterdon.nj.us/coronavirus.html'],[],0,6,3,[],[],https://twitter.com/HunterdonDOH/status/1237434119698644996,False,,0,,,,,,,,[],,,,
1237400687832707080,1237400687832707080,2020-03-10 11:31:28 Eastern Daylight Time,2020-03-10,11:31:28,-0500,2829944112,hunterdondoh,HC Health Dept.,,COVID-19 Hunterdon Updates: What is Quarantine vs. Isolation?  https://t.co/Y49lI48Q8H,en,[],[],['https://pbs.twimg.com/media/ESwhHbMXQAEfVP3.jpg'],0,2,1,[],[],https://twitter.com/HunterdonDOH/status/1237400687832707080,False,,1,https://pbs.twimg.com/media/ESwhHbMXQAEfVP3.jpg,,,,,,,[],,,,
