id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1463560293561163782,1463560293561163782,2021-11-24 12:29:00 Eastern Standard Time,2021-11-24,12:29:00,-0500,1117413841,loumetrohealth,LouMetroHealth,,"Turkey and its juice can be contaminated with germs that can make you and your family sick.  Follow the steps  https://t.co/n65pd306yP to safely store, thaw, handle, and cook your turkey. #ThanksgivingDinner #Turkey  https://t.co/cwactNt6uz",en,[],['https://bit.ly/3r83gxt'],['https://pbs.twimg.com/media/FE5sIokXwAMVY9X.png'],0,0,0,"['thanksgivingdinner', 'turkey']",[],https://twitter.com/LouMetroHealth/status/1463560293561163782,False,,1,https://pbs.twimg.com/media/FE5sIokXwAMVY9X.png,,,,,,,[],,,,
1463534120991141898,1463534120991141898,2021-11-24 10:45:00 Eastern Standard Time,2021-11-24,10:45:00,-0500,1117413841,loumetrohealth,LouMetroHealth,,DYK: Cooking is the main cause of home fires any time of the year but it is especially common on #Thanksgiving. Learn more here:  https://t.co/pWVCUggBI4  https://t.co/EtfJ087Wak,en,[],['https://www.fema.gov/blog/10-ways-prevent-home-fires-thanksgiving'],['https://pbs.twimg.com/media/FE5pmTUX0AITf6R.png'],0,1,1,['thanksgiving'],[],https://twitter.com/LouMetroHealth/status/1463534120991141898,False,,1,https://pbs.twimg.com/media/FE5pmTUX0AITf6R.png,,,,,,,[],,,,
1463531101478133760,1463531101478133760,2021-11-24 10:33:00 Eastern Standard Time,2021-11-24,10:33:00,-0500,1117413841,loumetrohealth,LouMetroHealth,,Sea cuidadosa/o al cocinar este día de Acción de Gracias.  La cantidad promedio de incendios en los hogares durante este día suele ser el doble en comparación con el resto del año.  Conozca mas en:  https://t.co/UElTvOEKON  https://t.co/zumK5AVjEF,es,[],['https://www.fema.gov/es/blog/10-ways-prevent-home-fires-thanksgiving'],['https://pbs.twimg.com/media/FE5pi6cWUAIDFV0.png'],0,0,0,[],[],https://twitter.com/LouMetroHealth/status/1463531101478133760,False,,1,https://pbs.twimg.com/media/FE5pi6cWUAIDFV0.png,,,,,,,[],,,,
1463266112175366149,1463266112175366149,2021-11-23 17:00:01 Eastern Standard Time,2021-11-23,17:00:01,-0500,1117413841,loumetrohealth,LouMetroHealth,,"A crisis to you is a crisis to us. It’s okay to talk about what you’re going through — we’re here to listen. Text LOU to 741741 for free, 24/7 crisis counseling.  https://t.co/EzPOmOAhKj",en,[],[],['https://pbs.twimg.com/media/FE02wWuWQAIG9vV.png'],0,5,4,[],[],https://twitter.com/LouMetroHealth/status/1463266112175366149,False,,1,https://pbs.twimg.com/media/FE02wWuWQAIG9vV.png,,,,,,,[],,,,
1463259813404499972,1463259813404499972,2021-11-23 16:35:00 Eastern Standard Time,2021-11-23,16:35:00,-0500,1117413841,loumetrohealth,LouMetroHealth,,"When #antibiotics aren’t needed, they won’t help you, and the side effects could still cause harm. Learn more.  https://t.co/4G15tsWRqS #BeAntibioticsAware #USAAW21  https://t.co/aDlkviuEwT",en,[],['https://bit.ly/3l8KFyd'],['https://pbs.twimg.com/media/FE6EHl7XwAsGYL7.jpg'],0,0,0,"['antibiotics', 'beantibioticsaware', 'usaaw21']",[],https://twitter.com/LouMetroHealth/status/1463259813404499972,False,,1,https://pbs.twimg.com/media/FE6EHl7XwAsGYL7.jpg,,,,,,,[],,,,
1463245350190432258,1463245316350791683,2021-11-23 15:37:31 Eastern Standard Time,2021-11-23,15:37:31,-0500,1117413841,loumetrohealth,LouMetroHealth,,When to call a doctor  • If the redness or tenderness where shot was given gets worse after 24 hrs • If the side effects are worrying or do not seem to be going away after a few days  https://t.co/U8hzdtgCzE,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/FE594s3XoAQxHiJ.jpg'],0,0,0,[],[],https://twitter.com/LouMetroHealth/status/1463245350190432258,False,,1,https://pbs.twimg.com/tweet_video_thumb/FE594s3XoAQxHiJ.jpg,,,,,,,[],,,,
1463245338555338755,1463245316350791683,2021-11-23 15:37:29 Eastern Standard Time,2021-11-23,15:37:29,-0500,1117413841,loumetrohealth,LouMetroHealth,,To reduce discomfort from fever • Drink plenty of fluids • Dress lightly  https://t.co/5K1NPsb588,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/FE594IBWYAov154.jpg'],1,0,0,[],[],https://twitter.com/LouMetroHealth/status/1463245338555338755,False,,1,https://pbs.twimg.com/tweet_video_thumb/FE594IBWYAov154.jpg,,,,,,,[],,,,
1463245330871427080,1463245316350791683,2021-11-23 15:37:27 Eastern Standard Time,2021-11-23,15:37:27,-0500,1117413841,loumetrohealth,LouMetroHealth,,"To reduce pain and discomfort  • Apply a clean, cool, wet washcloth over the area • Use or exercise your arm",en,[],[],[],1,0,0,[],[],https://twitter.com/LouMetroHealth/status/1463245330871427080,False,,0,,,,,,,,[],,,,
1463245326593433600,1463245316350791683,2021-11-23 15:37:26 Eastern Standard Time,2021-11-23,15:37:26,-0500,1117413841,loumetrohealth,LouMetroHealth,,Throughout the rest of your body: • Tiredness • Headache • Muscle pain • Chills  • Fever • Nausea  https://t.co/ftLmzPxOdR,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/FE593ZJWUAMh_fe.jpg'],1,0,0,[],[],https://twitter.com/LouMetroHealth/status/1463245326593433600,False,,1,https://pbs.twimg.com/tweet_video_thumb/FE593ZJWUAMh_fe.jpg,,,,,,,[],,,,
1463245316350791683,1463245316350791683,2021-11-23 15:37:23 Eastern Standard Time,2021-11-23,15:37:23,-0500,1117413841,loumetrohealth,LouMetroHealth,,Common Side Effects of #COVID19 vaccine on the arm you got the shot • Pain  • Redness • Swelling  https://t.co/kRjTYo0Yu5,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/FE592xyXoAcjOs5.jpg'],1,0,0,['covid19'],[],https://twitter.com/LouMetroHealth/status/1463245316350791683,False,,1,https://pbs.twimg.com/tweet_video_thumb/FE592xyXoAcjOs5.jpg,,,,,,,[],,,,
