id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1463613400228016136,1463613400228016136,2021-11-24 16:00:01 Eastern Standard Time,2021-11-24,16:00:01,-0500,1883995525,maderadph,MaderaCountyPublicHealth,,"Don’t miss out on the important moments in life by getting sick with the flu. Instead of having a bad case of #FluFOMO, now is the time to get your flu shot. Visit  https://t.co/HMWRICtjF9 to find out more information and where you can get your flu shot.  https://t.co/gRaSO5vXe8",en,[],['http://maderacounty.com/flu'],"['https://pbs.twimg.com/media/FE6h3cFVIAA7M2Y.jpg', 'https://pbs.twimg.com/media/FE6h4QRVUAMrooC.jpg']",0,0,1,['flufomo'],[],https://twitter.com/MaderaDPH/status/1463613400228016136,False,,1,https://pbs.twimg.com/media/FE6h3cFVIAA7M2Y.jpg,,,,,,,[],,,,
1463568099991375873,1463568099991375873,2021-11-24 13:00:01 Eastern Standard Time,2021-11-24,13:00:01,-0500,1883995525,maderadph,MaderaCountyPublicHealth,,"What’s on the menu for your #Thanksgiving2021? By following the recipe for a safe and healthy Thanksgiving, you can enjoy the holiday and protect yourself and others from COVID-19.  https://t.co/d9d8rE4xzk",en,[],[],"['https://pbs.twimg.com/media/FE5NWzOVIAUU5Ul.jpg', 'https://pbs.twimg.com/media/FE5NXONVQAACrgB.jpg']",0,0,0,['thanksgiving2021'],[],https://twitter.com/MaderaDPH/status/1463568099991375873,False,,1,https://pbs.twimg.com/media/FE5NWzOVIAUU5Ul.jpg,,,,,,,[],,,,
1463297136930410498,1463297134476750849,2021-11-23 19:03:18 Eastern Standard Time,2021-11-23,19:03:18,-0500,1883995525,maderadph,MaderaCountyPublicHealth,,Vaccine Info (updated on Tuesdays): • Percent with at least one dose based upon eligible population – 56.40% • Percent of fully vaccinated based upon eligible population – 49.90% • Vaccine dashboard:  https://t.co/OQROygGiYH • Upcoming vaccine events –  https://t.co/xj82fhYUSw,en,[],"['https://maderacounty.maps.arcgis.com/apps/dashboards/60e1f7a9d8974869b5e049bccf6e7de3', 'http://maderacounty.com/covid19vaccine']",[],0,0,0,[],[],https://twitter.com/MaderaDPH/status/1463297136930410498,False,,0,,,,,,,,[],,,,
1463297134476750849,1463297134476750849,2021-11-23 19:03:18 Eastern Standard Time,2021-11-23,19:03:18,-0500,1883995525,maderadph,MaderaCountyPublicHealth,,"11/23/2021 COVID—19 WEEKLY UPDATE: • New cases*: 12  • Total cases: 23,533 • 3—day average daily COVID—19 hospitalizations: 31.3 • COVID—related deaths reported this week: 11 • Total deceased: 311 • Case dashboard (updated weekly on Tuesdays):  https://t.co/OfsNHKrMid  https://t.co/YP2DVBeuKw",en,[],['https://maderacounty.maps.arcgis.com/apps/opsdashboard/index.html?fbclid=IwAR0ML79AQ39S3kYtBGsjOaC16xS5tepYP7LbwHVTS7BS9y1FBYtl1uii80I#/5c3f6e5ce44d4160b46233ae1fa1e919'],['https://pbs.twimg.com/media/FE6s5F5VUAU8VcN.jpg'],1,0,2,[],[],https://twitter.com/MaderaDPH/status/1463297134476750849,False,,1,https://pbs.twimg.com/media/FE6s5F5VUAU8VcN.jpg,,,,,,,[],,,,
1463251008482541571,1463251008482541571,2021-11-23 16:00:00 Eastern Standard Time,2021-11-23,16:00:00,-0500,1883995525,maderadph,MaderaCountyPublicHealth,,"BUILDING A RESILIENT COMMUNITY! Join the Madera Community Response Team Thursday, Dec. 2 at the Home Arts Hall, Madera District Fair for a free workshop on Drug Overdose Prevention &amp; Harm Reduction. Food &amp; beverages will be served!   For more information:  https://t.co/B3GvGmnyqj  https://t.co/RTlWp5hZ21",en,[],['https://bit.ly/3qnfaTR'],['https://pbs.twimg.com/media/FE05XHdVIAEwftK.jpg'],0,0,0,[],[],https://twitter.com/MaderaDPH/status/1463251008482541571,False,,1,https://pbs.twimg.com/media/FE05XHdVIAEwftK.jpg,,,,,,,[],,,,
1462933920853360644,1462933920853360644,2021-11-22 19:00:01 Eastern Standard Time,2021-11-22,19:00:01,-0500,1883995525,maderadph,MaderaCountyPublicHealth,,"11/22/2021 COVID—19 DAILY UPDATE:  • New cases*: 114 — 11/19: 48 — 11/20: 40  — 11/21: 26  • Total cases: 23,521 • 3—day average daily COVID—19 hospitalizations: 32 • Total deceased: 300 • Case dashboard (updated weekly on Tuesdays):  https://t.co/OfsNHKrMid  https://t.co/nKEXJHpCIu",en,[],['https://maderacounty.maps.arcgis.com/apps/opsdashboard/index.html?fbclid=IwAR0ML79AQ39S3kYtBGsjOaC16xS5tepYP7LbwHVTS7BS9y1FBYtl1uii80I#/5c3f6e5ce44d4160b46233ae1fa1e919'],['https://pbs.twimg.com/media/FE1Yi0sUcAIyznm.jpg'],0,0,1,[],[],https://twitter.com/MaderaDPH/status/1462933920853360644,False,,1,https://pbs.twimg.com/media/FE1Yi0sUcAIyznm.jpg,,,,,,,[],,,,
1462888827589070853,1462888827589070853,2021-11-22 16:00:50 Eastern Standard Time,2021-11-22,16:00:50,-0500,1883995525,maderadph,MaderaCountyPublicHealth,,"Thank you to ALL public health workers! You are appreciated for your courage, dedication, and hard work. Thank you for your service to keep all our communities safe and healthy! #PHTYD",en,[],[],[],0,0,2,['phtyd'],[],https://twitter.com/MaderaDPH/status/1462888827589070853,False,https://twitter.com/CAPublicHealth/status/1462815693942890503,0,,,,,,,,[],,,,
1462843323610275842,1462843323610275842,2021-11-22 13:00:01 Eastern Standard Time,2021-11-22,13:00:01,-0500,1883995525,maderadph,MaderaCountyPublicHealth,,"Holiday head's up! Snowflake Please note our COVID-19 testing hours for the upcoming holiday season!   Our vaccine clinics will be closed from Thursday, November 25 through Monday, November 29. Regular clinic hours will resume Tuesday, November 30.  https://t.co/974fLEPHKK",en,[],[],"['https://pbs.twimg.com/media/FEk5h3lVgAQDWCn.jpg', 'https://pbs.twimg.com/media/FEk5ioaUcAQcvbF.jpg']",0,0,0,[],[],https://twitter.com/MaderaDPH/status/1462843323610275842,False,,1,https://pbs.twimg.com/media/FEk5h3lVgAQDWCn.jpg,,,,,,,[],,,,
1462819808186028035,1461776990420226055,2021-11-22 11:26:34 Eastern Standard Time,2021-11-22,11:26:34,-0500,1883995525,maderadph,MaderaCountyPublicHealth,,"@Lenomanu Good morning Emmanuel, to register for the focus group - please visit  https://t.co/NOJGM1n5g5",en,[],['https://us02web.zoom.us/meeting/register/tZEqf-iqqDwiGNZzFERZUqg8RfceJfg9jxEr?fbclid=IwAR0vHQjfLpu4NFeFpuBBK6c05b7MfbtHjQU6Endz2j6e48PMBSte3RvrlxM'],[],0,0,0,[],[],https://twitter.com/MaderaDPH/status/1462819808186028035,False,,0,,,,,,,,"[{'screen_name': 'Lenomanu', 'name': 'Emmanuel kipkosgei', 'id': '998760785638838272'}]",,,,
1462133649642377216,1462133649642377216,2021-11-20 14:00:01 Eastern Standard Time,2021-11-20,14:00:01,-0500,1883995525,maderadph,MaderaCountyPublicHealth,,"November is Alzheimer’s Awareness Month. Alzheimer's disease is the most common form of dementia and causes problems with memory, thinking, and behavior. Learn more about the signs:  https://t.co/aoY3fX2W6j  https://t.co/u4o7FsEEGL",en,[],['https://bit.ly/ALZD10'],['https://pbs.twimg.com/media/FEll43eVcAE3hVp.jpg'],0,0,0,[],[],https://twitter.com/MaderaDPH/status/1462133649642377216,False,,1,https://pbs.twimg.com/media/FEll43eVcAE3hVp.jpg,,,,,,,[],,,,
