id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1463554215243096065,1463554215243096065,2021-11-24 12:04:51 Eastern Standard Time,2021-11-24,12:04:51,-0500,20592308,polkcohealth,Polk County Health,,A little #foodsafety #humor while you are making your green bean casserole for #Thanksgiving!!  https://t.co/GjBk4gxXGf,en,[],[],['https://pbs.twimg.com/media/FE-WzX4X0AEf9PF.jpg'],0,0,1,"['foodsafety', 'humor', 'thanksgiving']",[],https://twitter.com/polkcohealth/status/1463554215243096065,False,,1,https://pbs.twimg.com/media/FE-WzX4X0AEf9PF.jpg,,,,,,,[],,,,
1463183270670176265,1463183270670176265,2021-11-23 11:30:51 Eastern Standard Time,2021-11-23,11:30:51,-0500,20592308,polkcohealth,Polk County Health,,"Appointments are required for a #COVID19 vaccine, booster or #flu shot. To schedule an appointment, please visit:  https://t.co/ScOBz6MywO. ✌🏻❤️💉  https://t.co/ak6V3GMlMy",en,[],['http://www.immunizepolk.com'],['https://pbs.twimg.com/media/FE5FbX3XwAkgnfh.jpg'],0,2,1,"['covid19', 'flu']",[],https://twitter.com/polkcohealth/status/1463183270670176265,False,,1,https://pbs.twimg.com/media/FE5FbX3XwAkgnfh.jpg,,,,,,,[],,,,
1462826585887854592,1462826585887854592,2021-11-22 11:53:30 Eastern Standard Time,2021-11-22,11:53:30,-0500,20592308,polkcohealth,Polk County Health,,"Great tips to have a #food #safe #Thanksgiving from our friends at @ISUExtension, @isualum and @IAStateFSHN.",en,"[{'screen_name': 'isuextension', 'name': 'extension and outreach', 'id': '14695514'}, {'screen_name': 'isualum', 'name': 'iowa state alumni', 'id': '16434999'}, {'screen_name': 'iastatefshn', 'name': 'iowa state fshn', 'id': '2383750326'}]",[],[],0,0,1,"['food', 'safe', 'thanksgiving']",[],https://twitter.com/polkcohealth/status/1462826585887854592,False,https://twitter.com/isualum/status/1461012520550993922,0,,,,,,,,[],,,,
1461730580220215296,1461730580220215296,2021-11-19 11:18:22 Eastern Standard Time,2021-11-19,11:18:22,-0500,20592308,polkcohealth,Polk County Health,,Do you want to be fully vaccinated before Christmas Eve? Check out the post below to see when you should get your 1st and 2nd dose! #GetVaccinated  https://t.co/RocyDo7DfQ,en,[],[],['https://pbs.twimg.com/media/FEkcNsqXEAg8kBA.jpg'],0,1,3,['getvaccinated'],[],https://twitter.com/polkcohealth/status/1461730580220215296,False,,1,https://pbs.twimg.com/media/FEkcNsqXEAg8kBA.jpg,,,,,,,[],,,,
1461431566454992898,1461431566454992898,2021-11-18 15:30:12 Eastern Standard Time,2021-11-18,15:30:12,-0500,20592308,polkcohealth,Polk County Health,,"Did you know: The definition of “fully vaccinated” does not change for boosters. So, if you have two doses of Moderna/Pfizer or 1 dose of J&amp;J you are still considered fully vaccinated. #GetVaccinated  https://t.co/hghvlw2M2M",en,[],[],['https://pbs.twimg.com/media/FEgMQM-WQAIfhUz.jpg'],0,0,3,['getvaccinated'],[],https://twitter.com/polkcohealth/status/1461431566454992898,False,,1,https://pbs.twimg.com/media/FEgMQM-WQAIfhUz.jpg,,,,,,,[],,,,
1461358722614108162,1461358722614108162,2021-11-18 10:40:44 Eastern Standard Time,2021-11-18,10:40:44,-0500,20592308,polkcohealth,Polk County Health,,"If your child has tested positive for #COVID19 and is asymptomatic (no signs and symptoms of the virus), please DO NOT take them to school, activities or outside of the home. They have the potential to infect others and cause the spread #COVID19.  https://t.co/2sOdQO7CnA",en,[],[],['https://pbs.twimg.com/media/FEfJ__WUUAIyhjR.jpg'],3,10,17,"['covid19', 'covid19']",[],https://twitter.com/polkcohealth/status/1461358722614108162,False,,1,https://pbs.twimg.com/media/FEfJ__WUUAIyhjR.jpg,,,,,,,[],,,,
1461071819285356544,1461071819285356544,2021-11-17 15:40:41 Eastern Standard Time,2021-11-17,15:40:41,-0500,20592308,polkcohealth,Polk County Health,,"When you get your first or second #COVID19 vaccine at the Health Department, you are eligible to receive a $25 Visa cash card.    To schedule an appointment, please visit:  https://t.co/ScOBz6MywO  https://t.co/knWEvsOBwQ",en,[],['http://www.immunizepolk.com'],['https://pbs.twimg.com/media/FEbFEyBXsAE4Db1.jpg'],2,0,0,['covid19'],[],https://twitter.com/polkcohealth/status/1461071819285356544,False,,1,https://pbs.twimg.com/media/FEbFEyBXsAE4Db1.jpg,,,,,,,[],,,,
1461001947717246983,1461001947717246983,2021-11-17 11:03:03 Eastern Standard Time,2021-11-17,11:03:03,-0500,20592308,polkcohealth,Polk County Health,,"Here are the numbers of patients hospitalized due to #COVID19 as of November 15, 2021. Getting vaccinated can help protect against COVID-19 infection or severe complications. Schedule your vaccine today at  https://t.co/xf0MkTuHXs.  https://t.co/ceJ2ZUZ6We",en,[],['http://immunizepolk.com'],['https://pbs.twimg.com/media/FEaFh1OX0AMELlJ.png'],0,0,1,['covid19'],[],https://twitter.com/polkcohealth/status/1461001947717246983,False,,1,https://pbs.twimg.com/media/FEaFh1OX0AMELlJ.png,,,,,,,[],,,,
1460691624288215044,1460691624288215044,2021-11-16 14:29:56 Eastern Standard Time,2021-11-16,14:29:56,-0500,20592308,polkcohealth,Polk County Health,,"The #COVID19 #Pfizer #vaccine will  be available on Tuesdays, Wednesdays and Thursdays. Vaccines are given by APPOINTMENT ONLY!  https://t.co/3Rn4dA2TSc",en,[],[],['https://pbs.twimg.com/media/FEVrSrYWQAQvQAC.jpg'],0,1,1,"['covid19', 'pfizer', 'vaccine']",[],https://twitter.com/polkcohealth/status/1460691624288215044,False,,1,https://pbs.twimg.com/media/FEVrSrYWQAQvQAC.jpg,,,,,,,[],,,,
1460657053899403271,1460657053899403271,2021-11-16 12:12:34 Eastern Standard Time,2021-11-16,12:12:34,-0500,20592308,polkcohealth,Polk County Health,,"Individuals can drop off COVID-19 test kits at PCHD, Monday – Friday from 8:00 AM – 3:00 PM. For more information visit:  https://t.co/uBesClANrq  https://t.co/4teg8CyfRY",en,[],['https://www.polkcountyiowa.gov/health-department/2019-novel-coronavirus-covid-19/covid-19-test-kits/'],['https://pbs.twimg.com/media/FEVL2RjWQAQZZas.jpg'],0,0,2,[],[],https://twitter.com/polkcohealth/status/1460657053899403271,False,,1,https://pbs.twimg.com/media/FEVL2RjWQAQZZas.jpg,,,,,,,[],,,,
