id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1465757773694746630,1465757773694746630,2021-11-30 14:01:00 Eastern Standard Time,2021-11-30,14:01:00,-0500,18508569,pchd,Pima County Health,,December 1 is World AIDS Day. If you need to get tested there is express testing available today at Theresa Lee Public Health Center and the North Public Health Clinic. For more information around on HIV and STDs visit  https://t.co/zNN0uqbolr  https://t.co/U3tBD970UH,en,[],['https://webcms.pima.gov/health/sexual_health/hiv_and_std/'],['https://pbs.twimg.com/media/FFcyMFKVIAsEX89.jpg'],0,1,1,[],[],https://twitter.com/pchd/status/1465757773694746630,False,,1,https://pbs.twimg.com/media/FFcyMFKVIAsEX89.jpg,,,,,,,[],,,,
1465757773329842187,1465757773329842187,2021-11-30 14:01:00 Eastern Standard Time,2021-11-30,14:01:00,-0500,18508569,pchd,Pima County Health,,"It’s the last day of No Shave November and our staff are starting to look unrecognizable! Remember, if you don’t feel like your usual self or have noticed something is off with your health, it’s important to see a doctor as soon as possible. Make an appointment today.  https://t.co/lrPqYMW9AY",en,[],[],"['https://pbs.twimg.com/media/FFctHIuVIAc9KMf.jpg', 'https://pbs.twimg.com/media/FFctHIzVIAcc51P.jpg', 'https://pbs.twimg.com/media/FFctHIzVgA0B5zF.jpg']",1,0,2,[],[],https://twitter.com/pchd/status/1465757773329842187,False,,1,https://pbs.twimg.com/media/FFctHIuVIAc9KMf.jpg,,,,,,,[],,,,
1465697139170820113,1465697139170820113,2021-11-30 10:00:03 Eastern Standard Time,2021-11-30,10:00:03,-0500,18508569,pchd,Pima County Health,,Hendricks Elementary and Tucson International School are both hosting mobile vaccine clinics today. Both sites will have Pfizer vaccines for children and adults. Check out  https://t.co/499UM92grs for times and locations of all our mobile vaccine clinics.  https://t.co/oNcW1WwLBp,en,[],['http://www.pima.gov/covid19vaccine'],['https://pbs.twimg.com/media/FFcpoYUVcAIa-3V.png'],0,1,0,[],[],https://twitter.com/pchd/status/1465697139170820113,False,,1,https://pbs.twimg.com/media/FFcpoYUVcAIa-3V.png,,,,,,,[],,,,
1465516684983377927,1465516684983377927,2021-11-29 22:03:00 Eastern Standard Time,2021-11-29,22:03:00,-0500,18508569,pchd,Pima County Health,,"Convenience and accessibility are two of the most common reasons why people who want the COVID vaccine have not received it yet. For a full schedule of standing and mobile clinic locations that are open on weekends or after 5 p.m., visit  https://t.co/499UM9jRQ2.  https://t.co/b7IbDusE8h",en,[],['http://www.pima.gov/covid19vaccine'],['https://pbs.twimg.com/media/FEadC3lVcAMbGDX.png'],1,3,2,[],[],https://twitter.com/pchd/status/1465516684983377927,False,,1,https://pbs.twimg.com/media/FEadC3lVcAMbGDX.png,,,,,,,[],,,,
1465395888902266896,1465395888902266896,2021-11-29 14:03:00 Eastern Standard Time,2021-11-29,14:03:00,-0500,18508569,pchd,Pima County Health,,The benefits of quitting smoking are almost immediate and then continue to go on for a lifetime. Quit smoking today and start experiencing the benefits of a healthier lifestyle.  https://t.co/FRzmSFrql2  https://t.co/fvhlwbKYv3,en,[],['https://youtu.be/KX82NJMguvA'],['https://pbs.twimg.com/media/FEabqKFVkAM9LJp.png'],0,0,2,[],[],https://twitter.com/pchd/status/1465395888902266896,False,,1,https://pbs.twimg.com/media/FEabqKFVkAM9LJp.png,,,,,,,[],,,,
1465364937841291276,1465364937841291276,2021-11-29 12:00:01 Eastern Standard Time,2021-11-29,12:00:01,-0500,18508569,pchd,Pima County Health,,Do you have questions about how the Pfizer MRNA vaccines work? Check out this video from the American Academy of Pediatrics.  https://t.co/ElwGOJsBCh,en,[],['https://youtu.be/YOlrNlvEiMw'],[],1,1,2,[],[],https://twitter.com/pchd/status/1465364937841291276,False,,0,,,,,,,,[],,,,
1465154297105031175,1465154297105031175,2021-11-28 22:03:00 Eastern Standard Time,2021-11-28,22:03:00,-0500,18508569,pchd,Pima County Health,,"The seasonal flu shot can take up to two weeks to be fully effective. If you haven’t received yours yet, you can find it at most commercial pharmacies and three of our public health clinics for no out-of-pocket cost. Visit  https://t.co/XH07kbWQQS for more information.  https://t.co/0lQKCqRm35",en,[],['http://www.pima.gov/flu/'],['https://pbs.twimg.com/media/FEabSg0VgAggqnX.jpg'],0,3,2,[],[],https://twitter.com/pchd/status/1465154297105031175,False,,1,https://pbs.twimg.com/media/FEabSg0VgAggqnX.jpg,,,,,,,[],,,,
1465033501066027012,1465033501066027012,2021-11-28 14:03:00 Eastern Standard Time,2021-11-28,14:03:00,-0500,18508569,pchd,Pima County Health,,"If you have a family history of colon or rectal cancer, you may need to start regular screening before the standard recommended age of 45. Talk to your doctor about your family history and decide what is right for you. For more information, visit  https://t.co/3wwQDLRY5H  https://t.co/DQuT60bD2i",en,[],['https://www.cancer.org/cancer/colon-rectal-cancer.html'],['https://pbs.twimg.com/media/FEaatWRVgAM_LSZ.jpg'],0,2,0,[],[],https://twitter.com/pchd/status/1465033501066027012,False,,1,https://pbs.twimg.com/media/FEaatWRVgAM_LSZ.jpg,,,,,,,[],,,,
1464791909122015232,1464791909122015232,2021-11-27 22:03:00 Eastern Standard Time,2021-11-27,22:03:00,-0500,18508569,pchd,Pima County Health,,"Fentanyl is 50-100 times more toxic than heroin. Drug dealers may mix fentanyl with heroin, cocaine, and methamphetamine with or without a user’s knowledge. Learn more here:  https://t.co/mCF3H7lzaI. #Fentanyl #NaloxoneSaves  https://t.co/j2uG30LgHc",en,[],['https://www.drugabuse.gov/publications/drugfacts/fentanyl'],['https://pbs.twimg.com/media/FEaVv0sVgAEjo5m.jpg'],0,3,2,"['fentanyl', 'naloxonesaves']",[],https://twitter.com/pchd/status/1464791909122015232,False,,1,https://pbs.twimg.com/media/FEaVv0sVgAEjo5m.jpg,,,,,,,[],,,,
1464671113057910793,1464671113057910793,2021-11-27 14:03:00 Eastern Standard Time,2021-11-27,14:03:00,-0500,18508569,pchd,Pima County Health,,#DYK that 43.9% of 12th grade students reported use of e-cigarettes? Or that 24.2% of 12th grade students were offered cigarettes in the last 30 days? Help Pima County Blackout Tobacco today by going to  https://t.co/mzU9CMpDod.  https://t.co/SskTp5tAq4,en,[],['http://www.pima.gov/blackouttobacco'],['https://pbs.twimg.com/media/FEaUvYNUUAIA49B.jpg'],2,2,0,['dyk'],[],https://twitter.com/pchd/status/1464671113057910793,False,,1,https://pbs.twimg.com/media/FEaUvYNUUAIA49B.jpg,,,,,,,[],,,,
