id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1465485958711844869,1465485958711844869,2021-11-29 20:00:54 Eastern Standard Time,2021-11-29,20:00:54,-0500,2964718240,rivcodoc,Dr. Geoffrey Leung,,Not vaccinated yet? Make an appointment here:  https://t.co/UKUbZ7Xedw #RivCoNOW #RUHealth  https://t.co/7tmExVVRmO,en,[],['https://www.rivcoph.org/COVID-19-Vaccine-with-Registration'],['https://pbs.twimg.com/media/FFZztsOXwAY49KJ.jpg'],2,2,3,"['rivconow', 'ruhealth']",[],https://twitter.com/RivCoDoc/status/1465485958711844869,False,,1,https://pbs.twimg.com/media/FFZztsOXwAY49KJ.jpg,,,,,,,[],,,,
1463674027520806915,1463674027520806915,2021-11-24 20:00:56 Eastern Standard Time,2021-11-24,20:00:56,-0500,2964718240,rivcodoc,Dr. Geoffrey Leung,,"#COVID19 data updates for Riverside County will resume Monday, Nov. 29. Stay with  https://t.co/B0PcBKTHe0 for news and information. #RivCoNOW #RUHealth  https://t.co/ouUJmiXcRY",en,[],['http://www.rivcoph.org/coronavirus'],['https://pbs.twimg.com/media/FFADxaxXMAkKPGb.jpg'],0,1,2,"['covid19', 'rivconow', 'ruhealth']",[],https://twitter.com/RivCoDoc/status/1463674027520806915,False,,1,https://pbs.twimg.com/media/FFADxaxXMAkKPGb.jpg,,,,,,,[],,,,
1463311611511427077,1463311611511427077,2021-11-23 20:00:49 Eastern Standard Time,2021-11-23,20:00:49,-0500,2964718240,rivcodoc,Dr. Geoffrey Leung,,View additional #COVID data for Riverside County here:  https://t.co/800Xfib5wX #RivCoNOW #RUHealth  https://t.co/ndrlKSfjZy,en,[],['https://www.ruhealth.org/covid-19-cases-and-data'],['https://pbs.twimg.com/media/FE66KBuXoAIziO3.jpg'],0,0,1,"['covid', 'rivconow', 'ruhealth']",[],https://twitter.com/RivCoDoc/status/1463311611511427077,False,,1,https://pbs.twimg.com/media/FE66KBuXoAIziO3.jpg,,,,,,,[],,,,
1463307299552854016,1463286329693941761,2021-11-23 19:43:41 Eastern Standard Time,2021-11-23,19:43:41,-0500,2964718240,rivcodoc,Dr. Geoffrey Leung,,Correction: Clinic will run from 10 a.m. to 6 p.m.,en,[],[],[],0,0,0,[],[],https://twitter.com/RivCoDoc/status/1463307299552854016,False,,0,,,,,,,,[],,,,
1463286329693941761,1463286329693941761,2021-11-23 18:20:22 Eastern Standard Time,2021-11-23,18:20:22,-0500,2964718240,rivcodoc,Dr. Geoffrey Leung,,"A #COVID19 vaccine clinic will be held from noon to 6 p.m. tomorrow, Nov. 24 at Coachella Valley Unified School District, located at 87225 Church St., in Thermal. Pfizer vaccines are available to individuals 5+. Make an appt:  https://t.co/cTQ99iXVK2. #RivCoNOW",en,[],['http://ow.ly/rqfw50GUYwF'],[],2,4,8,"['covid19', 'rivconow']",[],https://twitter.com/RivCoDoc/status/1463286329693941761,False,,0,,,,,,,,[],,,,
1462949235582816258,1462949235582816258,2021-11-22 20:00:52 Eastern Standard Time,2021-11-22,20:00:52,-0500,2964718240,rivcodoc,Dr. Geoffrey Leung,,Stay home if you are feeling unwell. And get tested for #COVID19:  https://t.co/0tsaeVPkRW #RUHealth #RivCoNOW  https://t.co/4IEGSMxOYY,en,[],['https://gettested.ruhealth.org/'],['https://pbs.twimg.com/media/FE1wk-WWUAMqvUL.jpg'],0,4,6,"['covid19', 'ruhealth', 'rivconow']",[],https://twitter.com/RivCoDoc/status/1462949235582816258,False,,1,https://pbs.twimg.com/media/FE1wk-WWUAMqvUL.jpg,,,,,,,[],,,,
1461862043506692101,1461862043506692101,2021-11-19 20:00:45 Eastern Standard Time,2021-11-19,20:00:45,-0500,2964718240,rivcodoc,Dr. Geoffrey Leung,,"#COVID19 data updates will resume Monday, Nov. 22. Visit  https://t.co/B0PcBKTHe0 for news and information. #RivCoNOW #RUHealth  https://t.co/KU4nrfvj8z",en,[],['http://www.rivcoph.org/coronavirus'],['https://pbs.twimg.com/media/FEmTyEEXEAg4Q7i.jpg'],0,1,1,"['covid19', 'rivconow', 'ruhealth']",[],https://twitter.com/RivCoDoc/status/1461862043506692101,False,,1,https://pbs.twimg.com/media/FEmTyEEXEAg4Q7i.jpg,,,,,,,[],,,,
1461711518656081934,1461711518656081934,2021-11-19 10:02:37 Eastern Standard Time,2021-11-19,10:02:37,-0500,2964718240,rivcodoc,Dr. Geoffrey Leung,,"ICYMI: Here's Thursday's (Nov. 18) Public Health Update with your vaccine and health-related questions. This was the final update for 2021, but watch for its return in Jan. 2022. #RivCoNOW #RUHealth   English:  https://t.co/VDoAK7NxGo Spanish:  https://t.co/FILJhVTW5p",en,[],"['http://ow.ly/TP5N50GRtYw', 'http://ow.ly/n0Pi50GRtYx']",[],0,1,4,"['rivconow', 'ruhealth']",[],https://twitter.com/RivCoDoc/status/1461711518656081934,False,,0,,,,,,,,[],,,,
1461499708304674816,1461499708304674816,2021-11-18 20:00:58 Eastern Standard Time,2021-11-18,20:00:58,-0500,2964718240,rivcodoc,Dr. Geoffrey Leung,,Make an appointment to be vaccinated here:  https://t.co/UKUbZ7Xedw #RivCoNOW #RUHealth  https://t.co/egLpmIphbo,en,[],['https://www.rivcoph.org/COVID-19-Vaccine-with-Registration'],['https://pbs.twimg.com/media/FEhKPYVXEAUyWo1.jpg'],0,2,3,"['rivconow', 'ruhealth']",[],https://twitter.com/RivCoDoc/status/1461499708304674816,False,,1,https://pbs.twimg.com/media/FEhKPYVXEAUyWo1.jpg,,,,,,,[],,,,
1460774921118830592,1460774921118830592,2021-11-16 20:00:55 Eastern Standard Time,2021-11-16,20:00:55,-0500,2964718240,rivcodoc,Dr. Geoffrey Leung,,"For additional data, visit  https://t.co/800Xfib5wX #RivCoNOW #RUHealth  https://t.co/mzdiDJNY0B",en,[],['https://www.ruhealth.org/covid-19-cases-and-data'],['https://pbs.twimg.com/media/FEW3DNdXwAEWd4E.jpg'],0,1,3,"['rivconow', 'ruhealth']",[],https://twitter.com/RivCoDoc/status/1460774921118830592,False,,1,https://pbs.twimg.com/media/FEW3DNdXwAEWd4E.jpg,,,,,,,[],,,,
