id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1465813282825121797,1465813282825121797,2021-11-30 17:41:34 Eastern Standard Time,2021-11-30,17:41:34,-0500,18216165,lakecohealth,Lake County Health Department,,"We are excited to share that Lake County vaccine providers have administered over 1 million doses of the COVID-19 vaccine to Lake County residents.  Read the full press release for more information,  https://t.co/vCTRwuM8pE.",en,[],['https://bit.ly/3D9ge0p'],[],0,1,1,[],[],https://twitter.com/LakeCoHealth/status/1465813282825121797,False,,0,,,,,,,,[],,,,
1462083794459049986,1462083794459049986,2021-11-20 10:41:55 Eastern Standard Time,2021-11-20,10:41:55,-0500,18216165,lakecohealth,Lake County Health Department,,"Mañana en la Clínica de Vacunas COVID-19 para niños de 5 a 11 años en la Escuela Intermedia Magee en Round Lake. La clínica estará abierta de 10 a. M. A 6 p. M. Las citas están disponibles en AllVax. Proteja a su familia contra el COVID-19 en esta temporada navideña, #vacúnese.  https://t.co/PWY3yIVgAU",es,[],[],['https://pbs.twimg.com/media/FEpdcF3WQAUQyz4.png'],0,0,0,['vacúnese'],[],https://twitter.com/LakeCoHealth/status/1462083794459049986,False,,1,https://pbs.twimg.com/media/FEpdcF3WQAUQyz4.png,,,,,,,[],,,,
1462083728415633412,1462083728415633412,2021-11-20 10:41:39 Eastern Standard Time,2021-11-20,10:41:39,-0500,18216165,lakecohealth,Lake County Health Department,,"5-11-year-old COVID-19 Vaccine Clinic TODAY at Magee Middle School in Round Lake. The clinic will be open from 10 AM to 6 PM. Appointments are available in AllVax. Protect your family against COVID-19 this holiday season, #getvaccinated.  https://t.co/7ZT9jWUORJ",en,[],[],['https://pbs.twimg.com/media/FEpdYawXIAA7l1D.png'],0,1,0,['getvaccinated'],[],https://twitter.com/LakeCoHealth/status/1462083728415633412,False,,1,https://pbs.twimg.com/media/FEpdYawXIAA7l1D.png,,,,,,,[],,,,
1442973427871064071,1442973427871064071,2021-09-28 18:04:09 Eastern Daylight Time,2021-09-28,18:04:09,-0500,18216165,lakecohealth,Lake County Health Department,,"PRESS RELEASE: IDPH is reporting the first human case of rabies in Illinois since 1954. The case occurred in Lake County. The CDC today confirmed the diagnosis after testing at its lab.  Read the full press release,  https://t.co/ph4yiQXlFl",en,[],['https://content.govdelivery.com/accounts/ILLAKE/bulletins/2f50670'],[],1,2,0,[],[],https://twitter.com/LakeCoHealth/status/1442973427871064071,False,,0,,,,,,,,[],,,,
1438981336417636352,1438981336417636352,2021-09-17 17:41:00 Eastern Daylight Time,2021-09-17,17:41:00,-0500,18216165,lakecohealth,Lake County Health Department,,"[2/2] Our vaccination sites will continue to provide 1st and 2nd doses. We remind residents that those with 1st and 2nd doses continue to be well protected from severe illness, hospitalization, and death from COVID-19. If you haven't gotten your vaccine, now is a great time.",en,[],[],[],4,1,0,[],[],https://twitter.com/LakeCoHealth/status/1438981336417636352,False,,0,,,,,,,,[],,,,
1438981084759445510,1438981084759445510,2021-09-17 17:40:00 Eastern Daylight Time,2021-09-17,17:40:00,-0500,18216165,lakecohealth,Lake County Health Department,,"[1/2] Today, the @US_FDA authorized boosters of the Pfizer vaccine for those ages 65+ and those at high risk of severe COVID-19. The @CDCgov's ACIP will meet to provide recommendations, including clarification on who will be included in these groups.",en,"[{'screen_name': 'us_fda', 'name': 'u.s. fda', 'id': '208120290'}, {'screen_name': 'cdcgov', 'name': 'cdc', 'id': '146569971'}]",[],[],0,1,2,[],[],https://twitter.com/LakeCoHealth/status/1438981084759445510,False,,0,,,,,,,,[],,,,
1437816165842264070,1437816165842264070,2021-09-14 12:31:01 Eastern Daylight Time,2021-09-14,12:31:01,-0500,18216165,lakecohealth,Lake County Health Department,,Some schools in Lake County have opted to participate in a trial program called Test to Stay. You will be notified if your school is participating in the Test to Stay Program. Watch the video to learn more about the Test to Stay Program.  https://t.co/Lk1xRmEMEX,en,[],['http://youtube.com/watch?v=Xg2gzhRlN_0'],[],3,1,1,[],[],https://twitter.com/LakeCoHealth/status/1437816165842264070,False,,0,,,,,,,,[],,,,
1436418230076248067,1436418230076248067,2021-09-10 15:56:08 Eastern Daylight Time,2021-09-10,15:56:08,-0500,18216165,lakecohealth,Lake County Health Department,,Mobile vaccination locations will be in Lake County at the dates and times listed on the graphic. Visit a site at a time that works for you! You can register ahead of time at  https://t.co/TWO1nk0zL8 or walk up during the hours listed below. #stopthespread  https://t.co/nsklIYE5qS,en,[],['https://allvax.lakecohealth.org/'],"['https://pbs.twimg.com/media/E-8uxEGX0AQMROE.jpg', 'https://pbs.twimg.com/media/E-8uxDxWYAQn9GQ.jpg']",3,4,5,['stopthespread'],[],https://twitter.com/LakeCoHealth/status/1436418230076248067,False,,1,https://pbs.twimg.com/media/E-8uxEGX0AQMROE.jpg,,,,,,,[],,,,
1433827212071997440,1433827212071997440,2021-09-03 12:20:21 Eastern Daylight Time,2021-09-03,12:20:21,-0500,18216165,lakecohealth,Lake County Health Department,,Mobile vaccination locations will be in Mundelein and Waukegan. You can register ahead of time at  https://t.co/ck77PG69L8 or walk up during the hours listed below. #stopthespread  https://t.co/dXfzoRHK80,en,[],['http://allvax.lakecohealth.org'],"['https://pbs.twimg.com/media/E-X6P-GXsAAUqBq.jpg', 'https://pbs.twimg.com/media/E-X6P-GXIAkcWeZ.jpg']",1,7,3,['stopthespread'],[],https://twitter.com/LakeCoHealth/status/1433827212071997440,False,,1,https://pbs.twimg.com/media/E-X6P-GXsAAUqBq.jpg,,,,,,,[],,,,
1430253829258457090,1430253829258457090,2021-08-24 15:41:00 Eastern Daylight Time,2021-08-24,15:41:00,-0500,18216165,lakecohealth,Lake County Health Department,,"PRESS RELEASE: Lake, McHenry counties encourage vaccination amidst high community transmission  Read the full press release here,  https://t.co/8VgZA94GpE",en,[],['https://bit.ly/3sIexDv'],[],2,2,2,[],[],https://twitter.com/LakeCoHealth/status/1430253829258457090,False,,0,,,,,,,,[],,,,
